,Layer,U,V,Type,Shape,cells,cmssw_type,cmssw_shape,cmssw_cells,nHitsTotal,corrFactorTotal,nHistsToA,corrFactorToA,nHitsBXM1,corrFactorBXM1,EvSize
3532,34,9,4,1,F,192,1,F,192,0.357,1.0,0.0772,1.0,0.0444,1.0,9.6556
3533,34,9,5,1,F,192,1,F,192,0.3684,1.0,0.0944,1.0,0.06,1.0,9.6836
3534,34,9,6,1,F,192,1,F,192,0.3508,1.0,0.085,1.0,0.04,1.0,9.6526
3535,34,9,7,1,F,192,1,F,192,0.306,1.0,0.0732,1.0,0.037,1.0,9.5682
3536,34,9,8,1,F,192,1,F,192,0.2866,1.0,0.0684,1.0,0.0426,1.0,9.5358
3537,34,9,9,1,F,192,1,F,192,0.2436,1.0,0.0584,1.0,0.0292,1.0,9.4452
3538,34,9,10,1,a,100,1,a,135,0.1022,0.855186,0.0248,0.870968,0.0152,0.881579,6.1656
3539,34,10,2,1,a,100,1,a,120,0.0996,0.967871,0.0192,0.9375,0.013,1.0,6.1804
3540,34,10,3,1,b,164,1,b,186,0.1628,0.985258,0.0378,0.994709,0.022,1.0,8.3074
3541,34,10,4,1,L,226,1,F,192,0.2186,1.05581,0.0516,1.027132,0.0272,1.007353,10.4344
3542,34,10,5,1,L,226,1,F,192,0.225,1.059556,0.0482,1.033195,0.0296,1.02027,10.4504
3543,34,10,6,1,F,192,1,F,192,0.2292,1.0,0.0506,1.0,0.031,1.0,9.4262
3544,34,10,7,1,L,226,1,F,192,0.216,1.058333,0.0478,1.037657,0.0282,1.014184,10.422
3545,34,10,8,1,b,164,1,b,185,0.178,0.98764,0.0422,0.995261,0.0214,1.0,8.3316
3546,34,10,9,1,a,100,1,a,121,0.092,0.954348,0.0208,0.951923,0.0118,0.966102,6.1654
3547,34,15,0,2,G,90,2,F,84,2.1546,1.0,0.844,1.0,0.0,0.0,10.801
3548,34,15,1,2,F,96,2,F,88,2.3668,1.0,0.9664,1.0,0.0,0.0,11.1248
3549,34,15,2,2,H,90,2,F,84,2.1724,1.0,0.8534,1.0,0.0,0.0,10.8342
3550,34,15,3,2,G,90,2,F,84,2.1466,1.0,0.8486,1.0,0.0,0.0,10.7886
3551,34,15,4,2,F,96,2,F,88,2.3088,1.0,0.93,1.0,0.0,0.0,11.0388
3552,34,15,5,2,H,90,2,F,84,2.172,1.0,0.8626,1.0,0.0,0.0,10.8158
3553,34,15,6,2,G,90,2,F,84,2.136,1.0,0.8652,1.0,0.0,0.0,10.7656
3554,34,15,7,2,F,96,2,F,88,2.3544,1.000085,0.9626,1.0,0.0,0.0,11.1082
3555,34,15,8,2,H,90,2,F,84,2.1872,1.0,0.8654,1.0,0.0,0.0,10.8442
3556,34,15,9,2,G,90,2,F,84,2.1602,1.0,0.8446,1.0,0.0,0.0,10.8076
3557,34,15,10,2,F,96,2,F,88,2.3082,1.0,0.938,1.0,0.0,0.0,11.0288
3558,34,15,11,2,H,90,2,F,84,2.1528,1.0,0.8508,1.0,0.0,0.0,10.7982
3559,35,0,2,1,a,100,1,a,106,13.4072,0.933125,1.1984,0.999666,1.4068,0.998436,17.2158
3560,35,0,3,1,F,192,1,F,192,9.9912,1.0,0.8404,1.0,1.497,1.0,22.484
3561,35,0,4,1,F,192,1,F,192,2.7092,1.0,0.4972,1.0,0.5964,1.0,13.5584
3562,35,0,5,1,F,192,1,F,192,1.1044,1.0,0.2368,1.0,0.2036,1.0,10.975
3563,35,0,6,1,F,192,1,F,192,0.538,1.0,0.119,1.0,0.0836,1.0,9.9998
3564,35,0,7,1,F,192,1,F,192,0.2854,1.0,0.0686,1.0,0.04,1.0,9.5368
3565,35,0,8,1,F,192,1,F,192,0.1786,1.0,0.042,1.0,0.0204,1.0,9.34
3566,35,1,3,1,F,192,1,F,192,13.5008,1.0,1.1692,1.0,1.7212,1.0,24.4988
3567,35,1,4,1,F,192,1,F,192,4.8886,1.0,0.4238,1.0,0.8252,1.0,17.1358
3568,35,1,5,1,F,192,1,F,192,1.5326,1.0,0.3024,1.0,0.336,1.0,11.686
3569,35,1,6,1,F,192,1,F,192,0.698,1.0,0.153,1.0,0.1074,1.0,10.2906
3570,35,1,7,1,F,192,1,F,192,0.378,1.0,0.087,1.0,0.0456,1.0,9.6988
3571,35,1,8,1,F,192,1,F,192,0.2066,1.0,0.0486,1.0,0.0266,1.0,9.3946
3572,35,1,9,1,a,100,1,a,120,0.076,0.976316,0.015,1.0,0.0108,1.0,6.141
3573,35,2,2,1,a,100,1,a,103,12.9402,0.990047,1.1628,1.0,1.3522,1.0,17.341
3574,35,2,3,1,F,192,1,F,192,13.4198,1.0,1.1744,1.0,1.7062,1.0,24.4548
3575,35,2,4,1,F,192,1,F,192,5.7182,1.0,0.49,1.0,0.9424,1.0,18.297
3576,35,2,5,1,F,192,1,F,192,1.8678,1.0,0.3616,1.0,0.422,1.0,12.224
3577,35,2,6,1,F,192,1,F,192,0.8274,1.0,0.1792,1.0,0.1302,1.0,10.501
3578,35,2,7,1,F,192,1,F,192,0.44,1.0,0.094,1.0,0.0674,1.0,9.823
3579,35,2,8,1,F,192,1,F,192,0.2754,1.0,0.06,1.0,0.0358,1.0,9.5182
3580,35,2,9,1,b,164,1,b,186,0.1258,0.995231,0.026,1.0,0.0174,1.0,8.2434
3581,35,3,0,1,F,192,1,F,192,16.8388,1.0,1.5924,1.0,1.9888,1.0,26.4766
3582,35,3,1,1,b,164,1,b,179,16.9052,0.915446,1.4744,0.986571,1.7018,0.983899,23.457
3583,35,3,2,1,F,192,1,F,192,16.6982,1.0,1.556,1.0,1.9728,1.0,26.3818
3584,35,3,3,1,F,192,1,F,192,9.7842,1.0,0.8248,1.0,1.4306,1.0,22.3026
3585,35,3,4,1,F,192,1,F,192,4.8608,1.0,0.4276,1.0,0.8236,1.0,17.0966
3586,35,3,5,1,F,192,1,F,192,1.8804,1.0,0.3546,1.0,0.4182,1.0,12.2448
3587,35,3,6,1,F,192,1,F,192,0.8766,1.0,0.1906,1.0,0.1336,1.0,10.5912
3588,35,3,7,1,F,192,1,F,192,0.4718,1.0,0.0968,1.0,0.0672,1.0,9.8874
3589,35,3,8,1,F,192,1,F,192,0.3036,1.0,0.0708,1.0,0.0356,1.0,9.564
3590,35,3,9,1,F,192,1,F,192,0.183,1.0,0.039,1.0,0.0242,1.0,9.3488
3591,35,4,0,1,F,192,1,F,192,5.6248,1.0,0.4584,1.0,0.9492,1.0,18.1894
3592,35,4,1,1,F,192,1,F,192,7.3682,1.0,0.5948,1.0,1.2224,1.0,20.2474
3593,35,4,2,1,F,192,1,F,192,7.435,1.0,0.6026,1.0,1.2504,1.0,20.3544
3594,35,4,3,1,F,192,1,F,192,5.6936,1.0,0.4516,1.0,0.9328,1.0,18.2654
3595,35,4,4,1,F,192,1,F,192,2.7072,1.0,0.4958,1.0,0.5956,1.0,13.5618
3596,35,4,5,1,F,192,1,F,192,1.5106,1.0,0.3104,1.0,0.3262,1.0,11.643
3597,35,4,6,1,F,192,1,F,192,0.8552,1.0,0.1894,1.0,0.1236,1.0,10.5452
3598,35,4,7,1,F,192,1,F,192,0.4936,1.0,0.1042,1.0,0.081,1.0,9.9116
3599,35,4,8,1,F,192,1,F,192,0.307,1.0,0.072,1.0,0.0396,1.0,9.568
3600,35,4,9,1,L,226,1,F,192,0.1944,1.059671,0.0466,1.030043,0.0266,1.022556,10.3874
3601,35,5,0,1,F,192,1,F,192,1.6742,1.0,0.3332,1.0,0.375,1.0,11.911
3602,35,5,1,1,F,192,1,F,192,2.2446,1.0,0.4152,1.0,0.512,1.0,12.826
3603,35,5,2,1,F,192,1,F,192,2.4888,1.0,0.44,1.0,0.5522,1.0,13.2172
3604,35,5,3,1,F,192,1,F,192,2.2194,1.0,0.4414,1.0,0.4798,1.0,12.7632
3605,35,5,4,1,F,192,1,F,192,1.6342,1.0,0.3178,1.0,0.3644,1.0,11.8552
3606,35,5,5,1,F,192,1,F,192,1.102,1.0,0.2336,1.0,0.1852,1.0,10.96
3607,35,5,6,1,F,192,1,F,192,0.6856,1.0,0.1524,1.0,0.1054,1.0,10.2558
3608,35,5,7,1,F,192,1,F,192,0.474,1.0,0.1026,1.0,0.0706,1.0,9.8824
3609,35,5,8,1,F,192,1,F,192,0.284,1.0,0.0652,1.0,0.0418,1.0,9.5396
3610,35,5,9,1,L,226,1,F,192,0.196,1.059184,0.0428,1.056075,0.0274,1.021898,10.3926
3611,35,6,0,1,F,192,1,F,192,0.7304,1.0,0.1638,1.0,0.115,1.0,10.3294
3612,35,6,1,1,F,192,1,F,192,0.9546,1.0,0.2204,1.0,0.1564,1.0,10.7176
3613,35,6,2,1,F,192,1,F,192,1.1066,1.0,0.2322,1.0,0.1966,1.0,10.9798
3614,35,6,3,1,F,192,1,F,192,1.1034,1.0,0.243,1.0,0.1836,1.0,10.9682
3615,35,6,4,1,F,192,1,F,192,0.9262,1.0,0.2042,1.0,0.1332,1.0,10.6788
3616,35,6,5,1,F,192,1,F,192,0.7648,1.0,0.17,1.0,0.1078,1.0,10.3708
3617,35,6,6,1,F,192,1,F,192,0.5812,1.0,0.1252,1.0,0.0798,1.0,10.0608
3618,35,6,7,1,F,192,1,F,192,0.3884,1.0,0.0824,1.0,0.0542,1.0,9.7252
3619,35,6,8,1,F,192,1,F,192,0.2404,1.0,0.0568,1.0,0.0344,1.0,9.4484
3620,35,6,9,1,L,226,1,F,192,0.1682,1.054697,0.0314,1.025478,0.0234,1.008547,10.3376
3621,35,7,0,1,F,192,1,F,192,0.3986,1.0,0.0868,1.0,0.0504,1.0,9.7404
3622,35,7,1,1,F,192,1,F,192,0.5132,1.0,0.1102,1.0,0.083,1.0,9.9506
3623,35,7,2,1,F,192,1,F,192,0.5884,1.0,0.1312,1.0,0.0884,1.0,10.0798
3624,35,7,3,1,F,192,1,F,192,0.6316,1.0,0.1376,1.0,0.0896,1.0,10.1676
