,DAQlpGBT,EvSize,Elinks,Layer,U,V,LUV,nModules,doubleDAQlpGBT,EvSize [kb],BitsPerElink
225,393,95.3257,4,13,6.5,7.5,3439.5,4,False,3.0504224,762.6056
226,394,112.0621,5,13,8,6,3462,5,False,3.5859872,717.19744
227,395,112.0603,5,13,2,8,3368,5,False,3.5859296,717.18592
228,396,112.1518,5,13,8,2,3458,5,False,3.5888576,717.77152
229,397,111.8809,5,13,6,8,3432,5,False,3.5801888,716.03776
230,398,120.2658,5,13,8,5,3461,5,False,3.8485056,769.70112
231,399,120.2766,5,13,3,8,3384,5,False,3.8488512,769.77024
232,400,84.6678,4,13,8.5,3,3467,4,False,2.7093696,677.3424
233,401,84.4426,4,13,5.5,8.5,3424.5,4,False,2.7021632,675.5408
234,402,111.9873,6,13,9.33333333333333,4.66666666666667,3482,6,False,3.5835936,597.2656
235,403,111.9442,6,13,4.66666666666667,9.33333333333333,3412,6,False,3.5822144,597.035733333333
236,408,222.559,7,14,2.5,1.5,3625.5,2,False,7.121888,1017.41257142857
237,409,126.7459,6,14,4.5,3.5,3659.5,2,False,4.0558688,675.978133333333
238,410,222.475,7,14,1,2.5,3602.5,2,False,7.1192,1017.02857142857
239,411,126.5916,6,14,1,4.5,3604.5,2,False,4.0509312,675.1552
240,412,194.1922,7,14,3.5,1,3641,2,False,6.2141504,887.735771428572
241,413,53.6396,3,14,5,1,3665,1,False,1.7164672,572.155733333333
242,414,194.1344,7,14,2.5,3.5,3627.5,2,False,6.2123008,887.471542857143
243,415,53.5499,3,14,4,5,3653,1,False,1.7135968,571.198933333333
244,416,194.1541,7,14,4.66666666666667,2.33333333333333,3661,3,False,6.2129312,887.5616
245,417,193.8304,7,14,2.33333333333333,4.66666666666667,3626,3,False,6.2025728,886.081828571429
246,418,111.6915,5,14,7,0,3696,5,False,3.574128,714.8256
247,419,111.6081,5,14,7,7,3703,5,False,3.5714592,714.29184
248,420,90.0766,4,14,7.5,6.5,3710.5,4,False,2.8824512,720.6128
249,421,90.1012,4,14,1,7.5,3607.5,4,False,2.8832384,720.8096
250,422,97.5803,4,14,7.5,5.5,3709.5,4,False,3.1225696,780.6424
251,423,97.6776,4,14,2,7.5,3623.5,4,False,3.1256832,781.4208
252,424,90.1326,4,14,7.5,1,3705,4,False,2.8842432,721.0608
253,425,89.9543,4,14,6.5,7.5,3695.5,4,False,2.8785376,719.6344
254,426,109.5782,5,14,8,5,3717,5,False,3.5065024,701.30048
255,427,109.6663,5,14,3,8,3640,5,False,3.5093216,701.86432
256,428,97.7465,4,14,7.5,2,3706,4,False,3.127888,781.972
257,429,97.5263,4,14,5.5,7.5,3679.5,4,False,3.1208416,780.2104
258,430,81.0768,4,14,8.5,4.5,3724.5,4,False,2.5944576,648.6144
259,431,80.9639,4,14,4,8.5,3656.5,4,False,2.5908448,647.7112
260,432,98.5403,6,14,9.33333333333333,3.66666666666667,3737,6,False,3.1532896,525.548266666667
261,433,98.421,6,14,5.66666666666667,9.33333333333333,3684,6,False,3.149472,524.912
262,438,225.937,7,15,2.5,1.5,3881.5,2,False,7.229984,1032.85485714286
