,Layer,U,V,Type,Shape,ADCHits,TOXHits,EvSize,EvSizeXCheck,Elinks
282,4,2,2,HD,g,180.86,50.1071,203.194,204,5
283,4,4,4,HD,F,72.3968,9.57533,93.1855,97,3
284,4,3,2,HD,F,168.687,34.125,181.576,182,5
285,4,2,1,HD,d,106.178,32.6281,123.684,124,3
286,4,4,3,HD,F,92.2228,13.2913,109.595,108,4
287,4,1,3,HD,F,168.642,34.0458,181.489,182,5
288,4,1,2,HD,d,106.26,32.5858,123.716,124,3
289,4,1,4,HD,F,92.014,13.2409,109.42,108,4
290,4,4,1,HD,F,92.2131,13.2698,109.577,108,3
291,4,3,1,HD,F,168.924,34.1553,181.793,182,5
292,4,5,1,HD,F,51.4692,6.41995,74.9432,72,2
293,4,3,4,HD,F,92.0754,13.2253,109.436,108,3
294,4,2,3,HD,F,168.716,34.1189,181.616,182,5
295,4,4,5,HD,F,51.2168,6.39363,74.7311,72,2
296,4,5,3,HD,F,58.8468,7.37792,81.3427,81,3
297,4,4,2,HD,F,100.486,14.8205,116.872,118,4
298,4,5,2,HD,F,58.9697,7.3942,81.4691,81,3
299,4,2,5,HD,F,58.8441,7.37199,81.3514,81,3
300,4,2,4,HD,F,100.565,14.8616,116.981,119,4
301,4,3,5,HD,F,58.8664,7.37666,81.3827,81,3
302,4,5,4,LD,F,43.0997,11.7104,59.386,58,2
303,4,6,5,LD,F,28.244,6.40552,44.1213,43,1
304,4,7,6,LD,F,17.2382,3.84085,34.6194,36,1
305,4,8,7,LD,F,8.42341,3.63026,27.029,27,1
306,4,9,8,LD,a,4.77538,2.21614,15.8872,16,1
307,4,1,5,LD,F,43.1632,11.7015,59.4266,58,2
308,4,1,6,LD,F,28.1994,6.41234,44.107,43,1
309,4,1,7,LD,F,17.1497,3.82519,34.5538,36,1
310,4,1,8,LD,F,8.38319,3.66146,27.0204,27,1
311,4,1,9,LD,a,4.81156,2.22042,15.928,16,1
312,4,5,0,LD,F,36.7853,8.7614,52.3543,54,2
313,4,6,0,LD,F,22.4918,4.98159,38.9811,38,1
314,4,7,0,LD,F,13.4951,3.02701,31.0525,31,1
315,4,8,0,LD,F,6.28301,2.88136,24.1613,24,1
316,4,5,5,LD,F,36.6706,8.76031,52.2712,54,2
317,4,6,6,LD,F,22.4611,4.9749,38.9516,38,1
318,4,7,7,LD,F,13.5354,3.06447,31.1088,32,1
319,4,8,8,LD,F,6.3194,2.88774,24.2024,24,1
320,4,6,4,LD,F,32.5125,7.466,48.1824,49,1
321,4,7,5,LD,F,20.0839,4.43022,36.9745,37,1
322,4,8,6,LD,F,10.5414,4.14406,29.5762,30,1
323,4,9,7,LD,L,5.96836,2.74227,25.7101,26,1
324,4,2,6,LD,F,32.5782,7.44314,48.1904,49,1
325,4,2,7,LD,F,20.0712,4.42368,36.9738,37,1
326,4,2,8,LD,F,10.5636,4.19526,29.65,30,1
327,4,2,9,LD,L,5.93212,2.73668,25.6683,26,1
328,4,6,1,LD,F,28.3275,6.44571,44.2257,43,1
